代码,名称
002099,海翔药业
002100,天康生物
002101,广东鸿图
002104,恒宝股份
002110,三钢闽光
002123,梦网科技
002125,湘潭电化
002127,南极电商
002139,拓邦股份
002145,钛能化学
002149,西部材料
002151,北斗星通
002158,汉钟精机
002163,海南发展
002170,芭田股份
002171,楚江新材
002174,游族网络
002176,江特电机
002182,宝武镁业
002183,怡亚通
002192,融捷股份
002194,武汉凡谷
002204,大连重工
002212,天融信
002215,诺普信
002216,三全食品
002219,新里程
002221,东华能源
002222,福晶科技
002226,江南化工
002233,塔牌集团
002237,恒邦股份
002239,奥特佳
002242,九阳股份
002243,力合科创
002245,蔚蓝锂芯
002249,大洋电机
002251,步步高
002254,泰和新材
002258,利尔化学
002267,陕天然气
002268,电科网安
002270,华明装备
002275,桂林三金
002276,万马股份
002287,奇正藏药
002292,奥飞娱乐
002302,西部建设
002315,焦点科技
002317,众生药业
002320,海峡股份
002324,普利特
002326,永太科技
002332,仙琚制药
002338,奥普光电
002345,潮宏基
002351,漫步者
002354,天娱数科
002364,中恒电气
002368,太极股份
002373,千方科技
002378,章源钨业
002389,航天彩虹
002390,信邦制药
002396,星网锐捷
002399,海普瑞
002400,省广集团
002405,四维图新
002408,齐翔腾达
002416,爱施德
002421,达实智能
002428,云南锗业
002434,万里扬
002456,欧菲光
002458,益生股份
002468,申通快递
002484,江海股份
002487,大金重工
002488,金固股份
002489,浙江永强
002497,雅化集团
002498,汉缆股份
002506,协鑫集成
002507,涪陵榨菜
002511,中顺洁柔
002516,旷达科技
002518,科士达
002531,天顺风能
002534,西子洁能
002536,飞龙股份
002537,海联金汇
002539,云图控股
002541,鸿路钢构
002543,万和电气
002544,普天科技
002545,东方铁塔
002550,千红制药
002557,洽洽食品
002563,森马服饰
002572,索菲亚
002588,史丹利
002597,金禾实业
002605,姚记科技
002611,东方精工
002612,朗姿股份
002617,露笑科技
002626,金达威
002635,安洁科技
002643,万润股份
002649,博彦科技
002651,利君股份
002654,万润科技
002668,TCL智家
002675,东诚药业
002681,奋达科技
002690,美亚光电
002697,红旗连锁
002698,博实股份
002701,奥瑞金
002705,新宝股份
002706,良信股份
002716,湖南白银
002727,一心堂
002737,葵花药业
002745,木林森
002747,埃斯顿
002755,奥赛康
002761,浙江建投
002777,久远银海
002779,中坚科技
002791,坚朗五金
002807,江阴银行
002815,崇达技术
002832,比音勒芬
002839,张家港行
002840,华统股份
002847,盐津铺子
002859,洁美科技
002867,周大生
002881,美格智能
002882,金龙羽
002891,中宠股份
002892,科力尔
002895,川恒股份
002896,中大力德
002897,意华股份
002901,大博医疗
002906,华阳集团
002911,佛燃能源
002913,奥士康
002925,盈趣科技
002928,华夏航空
002929,润建股份
002936,郑州银行
002941,新疆交建
002946,新乳业
002947,恒铭达
002948,青岛银行
002960,青鸟消防
002965,祥鑫科技
002967,广电计量
002978,安宁股份
002979,雷赛智能
002985,北摩高科
002987,京北方
002993,奥海科技
003006,百亚股份
003012,东鹏控股
003039,顺控发展
300007,汉威科技
300008,天海防务
300009,安科生物
300026,红日药业
300027,华谊兄弟
300031,宝通科技
300034,钢研高纳
300035,中科电气
300036,超图软件
300045,华力创通
300047,天源迪科
300049,福瑞医科
300065,海兰信
300068,南都电源
300075,数字政通
300077,国民技术
300079,数码视讯
300080,易成新能
300083,创世纪
300085,银之杰
300087,荃银高科
300088,长信科技
300098,高新兴
300101,振芯科技
300102,乾照光电
300113,顺网科技
300119,瑞普生物
300127,银河磁体
300130,新国都
300131,英唐智控
300133,华策影视
300134,大富科技
300151,昌红科技
300166,东方国信
300170,汉得信息
300171,东富龙
300180,华峰超纤
300181,佐力药业
300182,捷成股份
300183,东软载波
300184,力源信息
300185,通裕重工
300188,国投智能
300199,翰宇药业
300224,正海磁材
300226,上海钢联
300229,拓尔思
300232,洲明科技
300236,上海新阳
300244,迪安诊断
300253,卫宁健康
300257,开山股份
300260,新莱应材
300276,三丰智能
300284,苏交科
300294,博雅生物
300296,利亚德
300298,三诺生物
300303,聚飞光电
300315,掌趣科技
300319,麦捷科技
300323,华灿光电
300327,中颖电子
300337,银邦股份
300341,麦克奥迪
300348,长亮科技
300352,北信源
300357,我武生物
300360,炬华科技
300363,博腾股份
300378,鼎捷数智
300398,飞凯材料
300401,花园生物
300406,九强生物
300409,道氏技术
300415,伊之密
300416,苏试试验
300428,立中集团
300438,鹏辉能源
300443,金雷股份
300446,航天智造
300451,创业慧康
300455,航天智装
300456,赛微电子
300457,赢合科技
300459,汤姆猫
300463,迈克生物
300468,四方精创
300470,中密控股
300475,香农芯创
300482,万孚生物
300492,华图山鼎
300493,润欣科技
300525,博思软件
300548,长芯博创
300568,星源材质
300573,兴齐眼药
300576,容大感光
300579,数字认证
300580,贝斯特
300593,新雷能
300595,欧普康视
300598,诚迈科技
300602,飞荣达
300607,拓斯达
300613,富瀚微
300618,寒锐钴业
300620,光库科技
300624,万兴科技
300633,开立医疗
300634,彩讯股份
300638,广和通
300641,正丹股份
300655,晶瑞电材
300657,弘信电子
300660,江苏雷利
300663,科蓝软件
300666,江丰电子
300672,国科微
300674,宇信科技
300678,中科信息
300682,朗新科技
300685,艾德生物
300687,赛意信息
300693,盛弘股份
300702,天宇股份
300705,九典制药
300723,一品红
300725,药石科技
300726,宏达电子
300738,奥飞数据
300747,锐科激光
300755,华致酒行
300761,立华股份
300762,上海瀚讯
300768,迪普科技
300770,新媒股份
300772,运达股份
300773,拉卡拉
300775,三角防务
300776,帝尔激光
300777,中简科技
300779,惠城环保
300783,三只松鼠
300809,华辰装备
300811,铂科新材
300820,英杰电气
300821,东岳硅材
300827,上能电气
300841,康华生物
300850,新强联
300855,图南股份
300856,科思股份
300861,美畅股份
300870,欧陆通
300910,瑞丰新材
300913,兆龙互连
300917,特发服务
300925,法本信息
300926,博俊科技
300953,震裕科技
301000,肇民科技
301004,嘉益股份
301015,百洋医药
301018,申菱环境
301029,怡合达
301031,中熔电气
301035,润丰股份
301039,中集车辆
301047,义翘神州
301050,雷电微力
301061,匠心家居
301071,力量钻石
301078,孩子王
301087,可孚医疗
301091,深城交
301095,广立微
301101,明月镜片
301109,军信股份
301127,武汉天源
301153,中科江南
301155,海力风电
301171,易点天下
301175,中科环保
301177,迪阿股份
301205,联特科技
301207,华兰疫苗
301215,中汽股份
301217,铜冠铜箔
301219,腾远钴业
301238,瑞泰新材
301262,海看股份
301263,泰恩康
301267,华厦眼科
301268,铭利达
301275,汉朔科技
301291,明阳电气
301293,三博脑科
301297,富乐德
301316,慧博云通
301325,曼恩斯特
301327,华宝新能
301339,通行宝
301345,涛涛车业
301363,美好医疗
301371,敷尔佳
301376,致欧科技
301377,鼎泰高科
301381,赛维时代
301392,汇成真空
301458,钧崴电子
301487,盟固利
301500,飞南资源
301508,中机认检
301510,固高科技
301511,德福科技
301522,上大股份
301526,国际复材
301550,斯菱智驱
301551,无线传媒
301556,托普云农
301565,中仑新材
301571,国科天成
301589,诺瓦星云
301592,六九一二
301600,慧翰股份
301602,超研股份
301606,绿联科技
301622,英思特
301626,苏州天脉
301631,壹连科技
301658,首航新能
301665,泰禾股份
301678,新恒汇
600006,东风股份
600012,皖通高速
600017,日照港
600020,中原高速
600022,山东钢铁
600033,福建高速
600037,歌华有线
600055,万东医疗
600056,中国医药
600057,厦门象屿
600058,五矿发展
600059,古越龙山
600063,皖维高新
600064,南京高科
600072,中船科技
600075,新疆天业
600094,大名城
600100,同方股份
600105,永鼎股份
600113,浙江东日
600114,东睦股份
600116,三峡水利
600120,浙江东方
600123,兰花科创
600125,铁龙物流
600129,太极集团
600133,东湖高新
600151,航天机电
600155,华创云信
600158,中体产业
600163,中闽能源
600167,联美控股
600179,安通控股
600185,珠免集团
600186,莲花控股
600197,伊力特
600201,生物股份
600206,有研新材
600210,紫江企业
600211,西藏药业
600216,浙江医药
600217,中再资环
600223,福瑞达
600246,万通发展
600248,陕建股份
600252,中恒集团
600258,首旅酒店
600259,中稀有色
600266,城建发展
600267,海正药业
600269,赣粤高速
600273,嘉化能源
600285,羚锐制药
600292,电投水电
600301,华锡有色
600305,恒顺醋业
600315,上海家化
600320,振华重工
600323,瀚蓝环境
600325,华发股份
600328,中盐化工
600330,天通股份
600331,宏达股份
600335,国机汽车
600338,西藏珠峰
600353,旭光电子
600361,创新新材
600366,宁波韵升
600373,中文传媒
600388,龙净环保
600389,江山股份
600395,盘江股份
600399,抚顺特钢
600403,大有能源
600409,三友化工
600416,湘电股份
600420,国药现代
600422,昆药集团
600428,中远海特
600446,金证股份
600452,涪陵电力
600456,宝钛股份
600458,时代新材
600459,贵研铂业
600461,洪城环境
600475,华光环能
600478,科力远
600480,凌云股份
600490,鹏欣资源
600502,安徽建工
600507,方大特钢
600508,上海能源
600509,天富能源
600529,山东药玻
600531,豫光金铅
600550,保变电气
600552,凯盛科技
600556,天下秀
600557,康缘药业
600559,老白干酒
600572,康恩贝
600575,淮河能源
600577,精达股份
600586,金晶科技
600587,新华医疗
600595,中孚实业
600596,新安股份
600597,光明乳业
600612,老凤祥
600618,氯碱化工
600619,海立股份
600621,华鑫股份
600623,华谊集团
600629,华建集团
600633,浙数文化
600635,大众公用
600639,浦东金桥
600640,国脉文化
600641,先导基电
600643,爱建集团
600645,中源协和
600649,城投控股
600651,飞乐音响
600654,中安科
600657,信达地产
600662,外服控股
600664,哈药股份
600667,太极实业
600675,中华企业
600682,南京新百
600686,金龙汽车
600710,苏美达
600717,天津港
600718,东软集团
600726,华电能源
600728,佳都科技
600729,重庆百货
600740,山西焦化
600744,华银电力
600746,江苏索普
600750,华润江中
600751,海航科技
600757,长江传媒
600759,洲际油气
600761,安徽合力
600771,广誉远
600773,西藏城投
600776,东方通信
600782,新钢股份
600783,鲁信创投
600787,中储股份
600789,鲁抗医药
600810,神马股份
600812,华北制药
600821,金开新能
600827,百联股份
600835,上海机电
600850,电科数字
600859,王府井
600861,北京人力
600864,哈投股份
600866,星湖科技
600867,通化东宝
600869,远东股份
600872,中炬高新
600877,电科芯片
600882,妙可蓝多
600888,新疆众和
600894,广日股份
600903,贵州燃气
600908,无锡银行
600916,中国黄金
600928,西安银行
600929,雪天盐业
600933,爱柯迪
600961,株冶集团
600963,岳阳林纸
600971,恒源煤电
600975,新五丰
600986,浙文互联
600993,马应龙
600996,贵广网络
600997,开滦股份
601003,柳钢股份
601020,华钰矿业
601022,宁波远洋
601033,永兴股份
601038,一拖股份
601068,中铝国际
601069,西部黄金
601083,锦江航运
601089,福元医药
601096,宏盛华源
601101,昊华能源
601107,四川成渝
601126,四方股份
601137,博威合金
601163,三角轮胎
601187,厦门银行
601200,上海环境
601208,东材科技
601222,林洋能源
601311,骆驼股份
601326,秦港股份
601369,陕鼓动力
601375,中原证券
601500,通用股份
601519,大智慧
601528,瑞丰银行
601595,上海电影
601606,长城军工
601609,金田股份
601619,嘉泽新能
601636,旗滨集团
601677,明泰铝业
601678,滨化股份
601702,华峰铝业
601718,际华集团
601777,千里科技
601778,晶科科技
601801,皖新传媒
601811,新华文轩
601858,中国科传
601860,紫金银行
601869,长飞光纤
601882,海天精工
601890,亚星锚链
601900,南方传媒
601908,京运通
601949,中国出版
601952,苏垦农发
601963,重庆银行
601969,海南矿业
601975,招商南油
603005,晶方科技
603009,北特科技
603013,亚普股份
603014,威高血净
603025,大豪科技
603026,石大胜华
603027,千禾味业
603033,三维股份
603039,泛微网络
603043,广州酒家
603055,台华新材
603057,紫燕食品
603063,禾望电气
603072,天和磁材
603083,剑桥科技
603093,南华期货
603099,长白山
603100,川仪股份
603103,横店影视
603108,润达医疗
603118,共进股份
603119,浙江荣泰
603127,昭衍新药
603128,华贸物流
603162,海通发展
603169,兰石重装
603171,税友股份
603193,润本股份
603194,中力股份
603197,保隆科技
603202,天有为
603218,日月股份
603219,富佳股份
603220,中贝通信
603227,雪峰科技
603229,奥翔药业
603236,移远通信
603256,宏和科技
603262,技源集团
603267,鸿远电子
603279,景津装备
603283,赛腾股份
603297,永新光学
603299,苏盐井神
603300,海南华铁
603305,旭升集团
603306,华懋科技
603308,应流股份
603317,天味食品
603323,苏农银行
603327,福蓉科技
603328,依顿电子
603337,杰克科技
603355,莱克电气
603358,华达科技
603360,百傲化学
603383,顶点软件
603393,新天然气
603395,红四方
603456,九洲药业
603477,巨星农牧
603496,恒为科技
603505,金石资源
603508,思维列控
603516,淳中科技
603530,神马电力
603533,掌阅科技
603556,海兴电力
603567,珍宝岛
603583,捷昌驱动
603588,高能环境
603599,广信股份
603612,索通发展
603613,国联股份
603619,中曼石油
603638,艾迪精密
603662,柯力传感
603663,三祥新材
603667,五洲新春
603678,火炬电子
603690,至纯科技
603693,江苏新能
603698,航天工程
603713,密尔克卫
603730,岱美股份
603733,仙鹤股份
603809,豪能股份
603826,坤彩科技
603866,桃李面包
603871,嘉友国际
603876,鼎胜新材
603881,数据港
603883,老百姓
603887,城地香江
603888,新华网
603915,国茂股份
603919,金徽酒
603983,丸美生物
603997,继峰股份
605009,豪悦护理
605011,杭州热电
605020,永和股份
605090,九丰能源
605099,共创草坪
605111,新洁能
605116,奥锐特
605118,力鼎光电
605123,派克新材
605198,安德利
605296,神农集团
605333,沪光股份
605376,博迁新材
605507,国邦医药
605555,德昌股份
605599,菜百股份
688001,华兴源创
688003,天准科技
688005,容百科技
688006,杭可科技
688007,光峰科技
688016,心脉医疗
688029,南微医学
688032,禾迈股份
688048,长光华芯
688050,爱博医疗
688062,迈威生物
688063,派能科技
688068,热景生物
688083,中望软件
688088,虹软科技
688091,上海谊众
688097,博众精工
688106,金宏气体
688107,安路科技
688110,东芯股份
688116,天奈科技
688123,聚辰股份
688127,蓝特光学
688128,中国电研
688131,皓元医药
688139,海尔生物
688141,杰华特
688146,中船特气
688147,微导纳米
688150,莱特光电
688153,唯捷创芯
688158,优刻得
688165,埃夫特
688177,百奥泰
688182,灿勤科技
688185,康希诺
688190,云路股份
688200,华峰测控
688205,德科立
688206,概伦电子
688208,道通科技
688209,英集芯
688232,新点软件
688252,天德钰
688262,国芯科技
688270,臻镭科技
688276,百克生物
688279,峰岹科技
688289,圣湘生物
688300,联瑞新材
688306,均普智能
688313,仕佳光子
688321,微芯生物
688326,经纬恒润
688327,云从科技
688331,荣昌生物
688332,中科蓝讯
688333,铂力特
688337,普源精电
688343,云天励飞
688348,昱能科技
688351,微电生理
688352,颀中科技
688362,甬矽电子
688372,伟测科技
688380,中微半导
688382,益方生物
688390,固德威
688400,凌云光
688403,汇成股份
688408,中信博
688409,富创精密
688432,有研硅
688433,华曙高科
688439,振华风光
688443,智翔金泰
688484,南芯科技
688486,龙迅股份
688498,源杰科技
688502,茂莱光学
688503,聚和材料
688515,裕太微
688516,奥特维
688519,南亚新材
688522,纳睿雷达
688523,航天环宇
688536,思瑞浦
688543,国科军工
688548,广钢气体
688549,中巨芯
688552,航天南湖
688559,海目星
688567,孚能科技
688575,亚辉龙
688584,上海合晶
688586,江航装备
688591,泰凌微
688596,正帆科技
688612,威迈斯
688630,芯碁微装
688631,莱斯信息
688639,华恒生物
688652,京仪装备
688658,悦康药业
688660,电气风电
688686,奥普特
688690,纳微科技
688696,极米科技
688698,伟创电气
688700,东威科技
688717,艾罗能源
688726,拉普拉斯
688739,成大生物
688766,普冉股份
688776,国光电气
688779,五矿新能
688789,宏华数科
688798,艾为电子
688800,瑞可达
600000,浦发银行
600004,白云机场
600009,上海机场
600010,包钢股份
600011,华能国际
600015,华夏银行
600016,民生银行
600018,上港集团
600019,宝钢股份
600023,浙能电力
600025,华能水电
600026,中远海能
600027,华电国际
600028,中国石化
600029,南方航空
600030,中信证券
600031,三一重工
600036,招商银行
600038,中直股份
600039,四川路桥
600048,保利地产
600048,保利发展
600050,中国联通
600061,国投资本
600066,宇通客车
600068,葛洲坝
600079,人福医药
600085,同仁堂
600089,特变电工
600100,同方股份
600104,上汽集团
600109,国金证券
600111,北方稀土
600115,东方航空
600115,中国东航
600118,中国卫星
600132,重庆啤酒
600143,金发科技
600150,中国船舶
600153,建发股份
600160,巨化股份
600161,天坛生物
600170,上海建工
600176,中国巨石
600177,雅戈尔
600183,生益科技
600188,兖州煤业
600188,兖矿能源
600196,复星医药
600208,新湖中宝
600219,南山铝业
600221,海航控股
600233,圆通速递
600271,航天信息
600276,恒瑞医药
600297,广汇汽车
600299,安迪苏
600309,万华化学
600332,白云山
600340,华夏幸福
600346,恒力石化
600352,浙江龙盛
600362,江西铜业
600369,西南证券
600372,中航电子
600372,中航机载
600377,宁沪高速
600383,金地集团
600390,五矿资本
600398,海澜之家
600406,国电南瑞
600415,小商品城
600426,华鲁恒升
600436,片仔癀
600438,通威股份
600460,士兰微
600482,中国动力
600487,亨通光电
600489,中金黄金
600498,烽火通信
600515,海南机场
600516,方大炭素
600519,贵州茅台
600521,华海药业
600522,中天科技
600535,天士力
600547,山东黄金
600566,济川药业
600570,恒生电子
600583,海油工程
600584,长电科技
600585,海螺水泥
600588,用友网络
600600,青岛啤酒
600606,绿地控股
600637,东方明珠
600655,豫园股份
600660,福耀玻璃
600663,陆家嘴
600674,川投能源
600690,海尔智家
600703,三安光电
600705,中航产融
600705,中航资本
600732,爱旭股份
600733,北汽蓝谷
600741,华域汽车
600745,闻泰科技
600754,锦江酒店
600760,中航沈飞
600763,通策医疗
600795,国电电力
600803,新奥股份
600809,山西汾酒
600816,安信信托
600837,海通证券
600845,宝信软件
600848,上海临港
600867,通化东宝
600872,中炬高新
600875,东方电气
600886,国投电力
600887,伊利股份
600893,航发动力
600900,长江电力
600905,三峡能源
600918,中泰证券
600919,江苏银行
600926,杭州银行
600928,西安银行
600930,华电新能
600938,中国海油
600941,中国移动
600958,东方证券
600968,海油发展
600977,中国电影
600989,宝丰能源
600998,九州通
600999,招商证券
601006,大秦铁路
601009,南京银行
601012,隆基绿能
601012,隆基股份
601018,宁波港
601021,春秋航空
601058,赛轮轮胎
601059,信达证券
601066,中信建投
601077,渝农商行
601088,中国神华
601100,恒立液压
601108,财通证券
601111,中国国航
601117,中国化学
601127,赛力斯
601136,首创证券
601138,工业富联
601155,新城控股
601162,天风证券
601166,兴业银行
601169,北京银行
601186,中国铁建
601198,东兴证券
601211,国泰海通
601211,国泰君安
601212,白银有色
601216,君正集团
601225,陕西煤业
601229,上海银行
601231,环旭电子
601236,红塔证券
601238,广汽集团
601288,农业银行
601298,青岛港
601318,中国平安
601319,中国人保
601328,交通银行
601336,新华保险
601360,三六零
601377,兴业证券
601390,中国中铁
601398,工商银行
601456,国联民生
601555,东吴证券
601577,长沙银行
601600,中国铝业
601601,中国太保
601607,上海医药
601615,明阳智能
601618,中国中冶
601628,中国人寿
601633,长城汽车
601658,邮储银行
601668,中国建筑
601669,中国电建
601688,华泰证券
601689,拓普集团
601696,中银证券
601698,中国卫通
601699,潞安环能
601727,上海电气
601728,中国电信
601766,中国中车
601788,光大证券
601799,星宇股份
601800,中国交建
601808,中海油服
601816,京沪高铁
601818,光大银行
601825,沪农商行
601828,美凯龙
601838,成都银行
601857,中国石油
601865,福莱特
601868,中国能建
601872,招商轮船
601877,正泰电器
601878,浙商证券
601881,中国银河
601888,中国中免
601888,中国国旅
601898,中煤能源
601899,紫金矿业
601901,方正证券
601916,浙商银行
601919,中远海控
601933,永辉超市
601939,建设银行
601966,玲珑轮胎
601985,中国核电
601988,中国银行
601989,中国重工
601990,南京证券
601992,金隅集团
601995,中金公司
601997,贵阳银行
601998,中信银行
603019,中科曙光
603087,甘李药业
603156,养元饮品
603160,汇顶科技
603185,上机数控
603195,公牛集团
603233,大参林
603259,药明康德
603260,合盛硅业
603288,海天味业
603290,斯达半导
603296,华勤技术
603338,浙江鼎力
603369,今世缘
603392,万泰生物
603486,科沃斯
603501,韦尔股份
603501,豪威集团
603517,绝味食品
603658,安图生物
603659,璞泰来
603799,华友钴业
603806,福斯特
603833,欧派家居
603882,金域医学
603893,瑞芯微
603899,晨光文具
603899,晨光股份
603939,益丰药房
603986,兆易创新
603993,洛阳钼业
605117,德业股份
605499,东鹏饮料
688005,容百科技
688008,澜起科技
688009,中国通号
688012,中微公司
688036,传音控股
688041,海光信息
688047,龙芯中科
688065,凯赛生物
688082,盛美上海
688111,金山办公
688126,沪硅产业
688169,石头科技
688187,时代电气
688223,晶科能源
688256,寒武纪
688271,联影医疗
688303,大全能源
688363,华熙生物
688396,华润微
688472,阿特斯
688506,百利天恒
688561,奇安信
688599,天合光能
688981,中芯国际
000001,平安银行
000002,万科A
000063,中兴通讯
000066,中国长城
000069,华侨城A
000100,TCL集团
000100,TCL科技
000157,中联重科
000166,申万宏源
000301,东方盛虹
000333,美的集团
000338,潍柴动力
000408,藏格矿业
000413,东旭光电
000415,渤海租赁
000423,东阿阿胶
000425,徐工机械
000538,云南白药
000568,泸州老窖
000596,古井贡酒
000617,中油资本
000625,长安汽车
000627,天茂集团
000629,攀钢钒钛
000630,铜陵有色
000651,格力电器
000656,金科股份
000661,长春高新
000671,阳光城
000703,恒逸石化
000708,中信特钢
000709,河钢股份
000723,美锦能源
000725,京东方A
000728,国元证券
000733,振华科技
000768,中航西飞
000768,中航飞机
000776,广发证券
000783,长江证券
000786,北新建材
000792,盐湖股份
000800,一汽解放
000807,云铝股份
000858,五粮液
000860,顺鑫农业
000876,新希望
000877,天山股份
000895,双汇发展
000898,鞍钢股份
000938,紫光股份
000961,中南建设
000963,华东医药
000975,山金国际
000977,浪潮信息
000983,山西焦煤
000999,华润三九
001289,龙源电力
001391,国货航
001965,招商公路
001979,招商蛇口
002001,新和成
002007,华兰生物
002008,大族激光
002010,传化智联
002024,苏宁易购
002027,分众传媒
002028,思源电气
002032,苏泊尔
002044,美年健康
002049,紫光国微
002050,三花智控
002064,华峰化学
002074,国轩高科
002081,金螳螂
002120,韵达股份
002129,TCL中环
002129,中环股份
002142,宁波银行
002146,荣盛发展
002153,石基信息
002157,正邦科技
002179,中航光电
002180,纳思达
002202,金风科技
002230,科大讯飞
002236,大华股份
002241,歌尔股份
002252,上海莱士
002271,东方雨虹
002294,信立泰
002304,洋河股份
002311,海大集团
002352,顺丰控股
002371,北方华创
002384,东山精密
002410,广联达
002411,延安必康
002414,高德红外
002415,海康威视
002422,科伦药业
002456,欧菲光
002459,晶澳科技
002460,赣锋锂业
002463,沪电股份
002466,天齐锂业
002468,申通快递
002475,立讯精密
002493,荣盛石化
002508,老板电器
002555,三七互娱
002558,巨人网络
002568,百润股份
002594,比亚迪
002600,领益智造
002601,龙佰集团
002601,龙蟒佰利
002602,世纪华通
002603,以岭药业
002607,中公教育
002624,完美世界
002625,光启技术
002648,卫星化学
002673,西部证券
002709,天赐材料
002714,牧原股份
002736,国信证券
002739,万达电影
002773,康弘药业
002791,坚朗五金
002812,恩捷股份
002821,凯莱英
002841,视源股份
002916,深南电路
002920,德赛西威
002938,鹏鼎控股
002939,长城证券
002945,华林证券
002958,青农商行
003816,中国广核
300003,乐普医疗
300014,亿纬锂能
300015,爱尔眼科
300017,网宿科技
300024,机器人
300033,同花顺
300059,东方财富
300070,碧水源
300122,智飞生物
300124,汇川技术
300136,信维通信
300142,沃森生物
300144,宋城演艺
300207,欣旺达
300223,北京君正
300251,光线传媒
300274,阳光电源
300308,中际旭创
300316,晶盛机电
300347,泰格医药
300394,天孚通信
300408,三环集团
300413,芒果超媒
300418,昆仑万维
300433,蓝思科技
300442,润泽科技
300450,先导智能
300454,深信服
300476,胜宏科技
300496,中科创达
300498,温氏股份
300502,新易盛
300529,健帆生物
300558,贝达药业
300595,欧普康视
300601,康泰生物
300628,亿联网络
300661,圣邦股份
300676,华大基因
300677,英科医疗
300750,宁德时代
300751,迈为股份
300759,康龙化成
300760,迈瑞医疗
300763,锦浪科技
300782,卓胜微
300803,指南针
300832,新产业
300866,安克创新
300896,爱美客
300919,中伟股份
300957,贝泰妮
300979,华利集团
300999,金龙鱼
301236,软通动力
301269,华大九天
302132,中航成飞
